RouteName,Direction,StopCount
01线,上行,18
01线,下行,19
04线,下行,22
1001路,下行,18
1002路,上行,11
1002路,下行,11
1003路,上行,7
1003路,下行,10
1004路,下行,2
1005路,上行,11
1005路,下行,14
1006路,下行,16
1007路,下行,8
1008路,下行,11
1009路,上行,11
1009路,下行,12
100路,上行,18
100路,下行,19
1010路,上行,10
1010路,下行,9
1012路,下行,13
1013路,下行,14
1014路,下行,12
1015路,上行,10
1015路,下行,10
1016路,下行,14
1017路,上行,2
1017路,下行,6
1018路,上行,10
1018路,下行,6
1019路,下行,17
1020路,上行,11
1020路,下行,10
1021路,上行,1
1021路,下行,10
1022路,下行,14
1023路,下行,17
1024路,下行,18
1025路,上行,9
1025路,下行,8
1026路,下行,16
1027路,下行,13
1028路,上行,8
1028路,下行,10
1029路,下行,12
102路,上行,6
102路,下行,7
1030路,下行,20
1031路,上行,5
1031路,下行,4
1032路,上行,9
1032路,下行,7
1033路,下行,18
1034路,上行,5
1034路,下行,7
1035路,上行,11
1035路,下行,11
1036路,上行,6
1036路,下行,7
1037路,上行,12
1037路,下行,12
1038路,上行,14
1038路,下行,15
1039路,上行,13
1039路,下行,13
103路,上行,24
103路,下行,25
1040路,下行,13
1041路,上行,9
1041路,下行,9
1042路,下行,15
1047路,上行,1
1047路,下行,3
1048路,下行,7
1049路,上行,6
1049路,下行,9
104路,上行,16
104路,下行,13
1050路,上行,10
1050路,下行,8
1051路,上行,8
1051路,下行,9
1054路,下行,13
1056路,上行,12
1056路,下行,12
1058路,上行,11
1058路,下行,8
105路,上行,20
105路,下行,20
1061路,上行,14
1061路,下行,14
1062路,上行,9
1062路,下行,11
1063路,上行,12
1063路,下行,12
1064路,上行,14
1064路,下行,14
1065路,下行,17
1066路,上行,12
1066路,下行,15
1068路,上行,17
1068路,下行,17
1069路,上行,9
1069路,下行,10
106路,上行,13
106路,下行,14
1070路,上行,19
1070路,下行,19
1072路,上行,11
1072路,下行,11
1073路,上行,15
1073路,下行,15
1074路,上行,10
1074路,下行,9
1075路,上行,11
1075路,下行,11
1076路,上行,10
1076路,下行,7
1077路,上行,6
1077路,下行,8
1078路,上行,5
1078路,下行,6
1079路,上行,13
1079路,下行,13
107路,上行,18
107路,下行,17
1080路,下行,18
1082路,上行,16
1082路,下行,17
1083路,上行,10
1083路,下行,10
1085路,上行,11
1085路,下行,11
1087路,上行,12
1087路,下行,12
1088路,上行,17
1088路,下行,11
1089路,上行,14
1089路,下行,14
108路,上行,39
108路,下行,38
1090路,上行,15
1090路,下行,17
1091路,上行,9
1091路,下行,9
1092路,上行,2
1092路,下行,23
1093路,下行,23
1095路,上行,12
1095路,下行,12
1096路,上行,10
1096路,下行,12
1097路,上行,9
1097路,下行,11
1099路,上行,5
1099路,下行,6
109路,上行,13
109路,下行,15
1100路,上行,6
1100路,下行,8
1101路,上行,13
1101路,下行,13
1104路,下行,9
1108路,下行,11
1109路,上行,11
1109路,下行,15
110路,上行,19
110路,下行,21
1110路,上行,12
1110路,下行,13
1111路,上行,18
1111路,下行,18
1112路,上行,11
1112路,下行,11
1113路,上行,11
1113路,下行,10
1115路,上行,9
1115路,下行,11
1117路,上行,17
1117路,下行,13
1118路,上行,8
1118路,下行,9
1119路,上行,10
1119路,下行,12
111路,上行,22
111路,下行,23
1121路,上行,13
1121路,下行,14
1122路,上行,8
1122路,下行,11
1124路,上行,11
1124路,下行,12
1126路,上行,15
1126路,下行,15
1127路,上行,13
1127路,下行,13
1129路,下行,11
112路,上行,30
112路,下行,31
1130路,上行,6
1130路,下行,7
1131路,上行,4
1131路,下行,5
1132路,上行,11
1132路,下行,12
1134路,上行,15
1134路,下行,16
1135路,下行,7
1136路,上行,8
1136路,下行,8
1137路,上行,8
1137路,下行,7
1138路,上行,11
