StopName,Routes...
0,753路,奉贤35路
1号桥,江平专线
2团村委会,大团2路
一二八纪念路共和新路,1601路,1608路
一二八纪念路岭南路,1601路
一二八纪念路江杨南路,1608路,1611路
一二八纪念路通河路,1601路,527路,1608路
一二八纪念路阳曲路,1601路,551路,118路,1611路,110路
一分店,南红专线
一号桥,1079路
一大会址新天地站,旅游1线
一江山路东引路,南堡快线,崇明乡村2路,城桥5路（区间）,崇明乡村2路（区间）,城桥5路
一江山路东门路,南堡快线,崇明乡村2路（区间）,崇明乡村2路,城桥5路（区间）,城桥5路
一江山路湄州路,崇明乡村2路（区间）
一江山路湄洲路,南堡快线,崇明乡村2路,城桥5路（区间）,城桥5路
丁家,嘉定65路
丁家桥,南堡专线,南裕专线,城桥5路（区间）,城桥5路,南东专线
丁家港路大盈浦路,青浦17路,1516路
丁家阳桥,廊下2路
丁棚镇,崇明乡村5路
丁香路合欢路,浦东78路,浦东36路
丁香路民生路,987路,浦东78路,浦东36路
丁香路紫槐路,987路,1024路
丁香路芳甸路,987路,1024路
丁香路金松路,987路,浦东78路
丁香路锦带路,987路,浦东36路
丁香路锦绣路,987路,浦东35路
丁香路长柳路,浦东36路,987路,浦东78路
七号坝桥,崇明乡村6路
七号桥,嘉定55路
七号门,322路,宝山87路,159路,345路,302路
七宝,748路（71路支线3）,闵行33路,189路,186路,196路,803路,92路,87路,91路,198路,735路,七宝2路,七宝2路区间,709路,虹桥枢纽4路
七宝中学,闵行33路,753路,173路,763路
七宝农贸市场,198路
七灶,六灶2路
七莘路中谊路,189路,196路,803路,91路,虹桥枢纽4路
七莘路华中路,闵行33路,189路,196路,803路,91路,虹桥枢纽4路
七莘路华友路,189路,196路,803路,91路,闵行33路,虹桥枢纽4路
七莘路华茂路,189路,196路,803路,91路,735路,虹桥枢纽4路
七莘路华茂路(下行单向),199路
七莘路吴中路,748路（71路支线3）,闵行33路,196路,87路,七宝2路,虹桥枢纽4路
七莘路天山西路,941,173路,196路
七莘路富强街,748路（71路支线3）,闵行33路,189路,196路,803路,87路,91路,虹桥枢纽5路,735路,199路,虹桥枢纽4路
七莘路星站路,748路（71路支线3）,189路,闵行33路,196路,91路,虹桥枢纽4路
七莘路沪闵路,莘庄2路
七莘路沪青平公路,748路（71路支线3）,189路,196路,91路,闵行33路,虹桥枢纽4路
七莘路润虹路,941,196路,941路
七莘路温虹路,71路T2线,173路,闵行18路,196路
七莘路疏影路,189路,704路,闵行8路,196路,91路,虹桥枢纽4路
七莘路秀文路,闵行55路,196路,闵行21路,91路
七莘路莘北路,189路,196路,91路,虹桥枢纽4路
七莘路顾戴路,189路,173路,759路,196路,91路,虹桥枢纽5路,虹桥枢纽4路
七莘路黎安路,189路,虹桥枢纽4路
七莘路黎康路,闵行33路
万丰路清朗路,奉贤22路
万农路万二9组,1134路
万农路万牧路,1134路
万北西厂,崇明乡村4路
万华路科工路,柘林1线
万和路三三公路,万祥2路
万和路东大公路,1134路
万和路临港大道,1134路
万和路振万路,1037路,万祥2路,1134路
万四路万五9组,1112路
万四路万四4组,1112路
万四路三三公路,1112路
万宇荣盛名邸,松莘线
万安村,崇明乡村4路
万安桥,1657路,1671路
万安街,1672路
万安街申江路,外高桥4路
万安街金京路,1016路
万安镇,崇明乡村4路
万彭桥,浦东23路
万德路博山东路,736路
万枫公路万安6组,朱枫线
万枫公路便民点,朱枫线
万枫公路兴北路,朱枫线
万枫公路成毛公路,朱枫线
万枫公路新兴公路,朱枫线
万枫公路环枫公路,朱枫线
万枫公路申乐路,1675路
万枫公路联新路,朱枫线
万枫公路联盟10组,朱枫线
万枫公路联盟1组,朱枫线
万枫公路联盟3组,朱枫线
万枫公路联盟5组,朱枫线
万枫公路联盟7组,朱枫线
万枫公路长安村,朱枫线
万枫公路长征村,朱枫线
万水路新杨公路,临港7路
万水路正博路,海湾3线
万水路正旭路,海湾3线
万水路正顺路,临港7路
万源路古美西路,162路,753路
万源路古龙路,162路
万源路吴中路,804路
万源路平南路,古美环线
万源路平吉路,162路
万源路平阳路（儿科医院）,946路
万源路顾戴路,171路,162路,753路,闵行8路,946路
万牧路万一1路,1134路
万牧路万兴村委,1134路
万牧路万农路,1134路
万牧路万耘路,1134路
万牧路东大公路,1134路
万牧路友心路,1134路
万牧路百鸣路,1134路
万狮路万狮村,白鹤7路,白鹤6路
万狮路万狮渡口,白鹤7路,白鹤6路
万祥路振万路,1037路
万科白马花园,松江51路,松江68路,125路,松莘线
万科花园,709路
万航渡路武定西路,321路
万航渡路镇宁路,321路,838路,45路,327路,824路
万航渡路长寿路,966路
万芳南路谈连路,浦江10路B线
万芳路江月路,浦江12路
万芳路立跃路,浦江12路
万芳路联星河桥,浦江12路,浦江12路区间
万荣路永和路,210路,79路
万荣路灵石路,210路
万荣路老沪太路,959路,937路
万里城,112路
万金路,1062路
万金路团金路,1062路
万金路川南奉公路,1062路
万镇路曹安公路,嘉定113路
万镇路曹安路,827路
万镇路桃浦路,838路
万镇路梅川路,嘉定113路
万镇路清峪路,948路
万镇路金沙江路,551路,长征1路
万隆花苑,奉贤4路B线,奉贤4路
万顺路南行港路,奉贤21路,奉贤40路,海航专线
万顺路南行路,奉贤21路
万顺路文明东街,奉贤21路
万顺路沿港河路,金汇2线,奉贤21路
万顺路清朗路,奉贤22路
万顺路秀韵路,奉贤22路
三三公路万五,浦东111路,浦东7路,南临专线,1112路
三三公路万和路,浦东111路,1134路,浦东7路,南临专线
三三公路万四,浦东111路
三三公路万四路,南临专线
三三公路万牧路,1037路,浦东111路,浦东7路,南临专线
三三公路万红桥,1037路
三三公路两港大道,1063路,浦东111路,浦东7路
三三公路丰产路,浦东111路,浦东7路
三三公路临港大道,浦东111路,南临专线
三三公路塘下公路,浦东7路
三三公路塘下路,1063路,浦东111路
三三公路宏祥路,浦东111路,浦东7路,南临专线
三三公路川南奉公路,浦东111路,浦东7路,南临专线
三三公路振东路,1063路,浦东111路,浦东7路
三三公路新泥路,浦东111路,浦东7路
三三公路旺欣,浦东111路,浦东7路
三三公路白龙港西路,浦东111路,浦东7路
三三公路老芦公路,浦东7路,浦东111路
三三公路金长树路,浦东111路,南临专线
三三公路长安,浦东111路,浦东7路,南临专线
三三公路雪南路,浦东111路,浦东7路
三八桥,祝桥2路
三千里花苑,859路,1223路
三华公路新建公路,南牛线
三号桥,嘉定59路,嘉定55路,崇明乡村4路
三号河,金山工业区二路
三团,江平专线,南团快线
三坎,邵鹤线,四团3线
三坎村,新芦专线
三城路腾庄路,庄行1线,奉贤26路,奉贤28路
三墩,大团2路
三官堂,南海线
三宣公路下塘,浦东111路
三宣公路东大公路,浦东111路
三宣公路南团公路,浦东111路,浦东105路
三宣公路唐家庵路,浦东111路,浦东105路
三宣公路川南奉公路,浦东111路
三宣公路徐邵路,浦东111路,浦东105路
三宣公路洪通路,浦东111路,浦东105路
三宣公路邵家宅路,浦东111路,浦东105路
三彩路和炯路,576路,955路
三彩路林德路,浦东37路
三德,浦东23路
三新北路,1805路,松江15路
三新北路天翔路,松江19路,松江14路
三新北路广富林路,1805路,1804路,1801路,松江24路,松江15路
三新北路思贤路（北）,松江14路
三新北路文宇路,1805路,1804路,1801路,松江24路,松江15路
三新北路文翔路,1805路,1804路,松江15路
三新北路文诚路,松江19路,松江14路
三新北路新松江路,松江19路,松江14路,松江15路
三新北路站,松江有轨电车1号线,松江有轨电车2号线
三新路乐都西路,松江14路
三新路仓丰路,松江4路,1808路
三新路弘翔路,松江旅游观光2线
三新路思贤路,松江14路,松江3路,1810路,松江23路区间
三新路永隆路,松江4路
三旋路和融路,浦东37路
三星中学,南建专线,南新专线（崇明巴士）
三星村,885路,185路,宝山19路
三星路云逸路,松江2路
三星镇,南建专线,南新专线（崇明巴士）
三林世博家园,隧道一线,784路,604路,1025路,83路
三林中学,174路
三林西路晨眺路,1022路
三林西路钟晓璐,1022路
三林路三新路,576路,873路,1018路,84路,810路,456路
三林路上南路,873路,576路,1018路,84路,810路,456路
三林路东明路,780路,784路,1003路,795路
三林路杨高南路,572路,780路,795路
三林路林悦路,84路,978路
三林路灵岩南路,576路,338路,84路,873路,810路,456路
三林路环林东路,780路,784路,1003路,795路
三林路环林西路,1026路,755路,795路
三桥,778路
三桥村,柘林3线
三民文化村,堡胜专线,南东专线
三民路,奉贤26路
三民路南亭公路,奉贤28路
三汀沟,719路,宝山25路
三江路宾阳路,1204路
三江路龙漕路,1204路
三沙洪,南跃线,南隆专线,南隆专线（区间）,南风线
三沙洪路中街山路,城桥2路
三泉路临汾路,159路,551路,745路,741路
三泉路保德路,1601路,745路,812路,726路,741路
三泉路共康路,719路,1601路,159路,745路,812路,850路,726路,741路
三泉路场中路,159路,551路
三泉路场北路,850路
三泉路长江西路,850路,812路,719路
三泉路闻喜路,551路,745路,845路
三浜村,金山105路区间
三浜路茸华路,松江61路
三灶路中界路,615路
三灶路孙塘路,615路
三灶路孙弘路,615路
三灶路孙新路,615路
三灶路孙浦路,615路
三灶路孙环路,615路
三祥路刘五公路,松江45路
三秀路香长路,松江76路
三舒路和融路,1122路,浦东37路,1034路
三舒路懿行路,1122路,浦东37路
三角洋,奉贤45路,奉城4线,奉卫线
三角洋东,奉卫线,奉城4线
三角洋南,奉贤45路
三转炉,322路,宝山88路,726路
三里桥,嘉松线,嘉定59路,嘉定63路
三门路吉浦路,99路,559路,1226路,960路
三门路安汾路,874路
三门路市光路,8路
三门路政云路,1226路
三门路新江湾城,99路,749路
三门路淞沪路,937路
三门路逸仙路,874路
三鲁公路东方一路,江五线,浦江19路B线,788路,772路,浦江2路,闵行20路
三鲁公路东方一路（肖家店）,沪塘专线
三鲁公路懿行路（红旗）,174路
三鲁公路林恒路,772路
三鲁公路林恒路（友建桥）,174路,沪塘专线
三鲁公路江月路,772路,闵行20路
三鲁公路江月路（三友）,174路,沪塘专线
三鲁公路沈杜公路,浦江15路,闵行10路,闵行20路
三鲁公路沈杜公路（谈家港）,174路,沪塘专线
三鲁公路浦放路,江五线,浦江6路,浦江11路,788路,183路,闵行20路
